execution_id,task,mode,provider,seed,repetition,status,elapsed_s,total_cost_usd,total_input_tokens,total_output_tokens,total_cache_tokens,acceptance_criteria_total,acceptance_criteria_passed,acceptance_criteria_ratio,dom_assertions_total,dom_assertions_passed,visual_captures_total,visual_captures_passed,e2e_total,e2e_failures,num_llm_calls,max_input_tokens_single_call
t1_biblioteca_restricted_seed1rep1_1789391307,t1_biblioteca,restricted,deepseek,1,1,malsucedida:max_iterations,297.06652784347534,0.14869666000000006,499306,21169,157440,,,,,,,,,,53,15556
t1_biblioteca_baseline_seed1rep1_1789391608,t1_biblioteca,baseline,deepseek,1,1,concluida,162.30988216400146,0.058401419999999996,196242,8223,110077,12,12,1.0,10,10,4,2,3,0,28,12644
t1_biblioteca_baseline_seed2rep2_1789391774,t1_biblioteca,baseline,deepseek,2,2,concluida,201.98248171806335,0.08609146,291349,10747,125565,12,12,1.0,10,10,4,2,3,0,33,15857
t1_biblioteca_restricted_seed2rep2_1789391979,t1_biblioteca,restricted,deepseek,2,2,malsucedida:max_iterations,277.93039178848267,0.1347486,452634,19074,166400,,,,,,,,,,51,13232
t1_biblioteca_restricted_seed3rep3_1789398336,t1_biblioteca,restricted,deepseek,3,3,malsucedida:max_iterations,842.1281220912933,0.32606644000000007,1105687,39224,280320,,,,,,,,,,117,15081
t1_biblioteca_baseline_seed3rep3_1789392597,t1_biblioteca,baseline,deepseek,3,3,concluida,140.67518019676208,0.038130260000000006,126977,6135,72061,12,12,1.0,10,0,0,0,3,3,26,7656
t1_biblioteca_baseline_seed4rep4_1789392741,t1_biblioteca,baseline,deepseek,4,4,concluida,159.04939079284668,0.03405640000000001,111337,6862,60285,12,12,1.0,10,8,4,2,3,0,22,9318
t1_biblioteca_restricted_seed4rep4_1789392903,t1_biblioteca,restricted,deepseek,4,4,malsucedida:max_dom_visual_passes,712.8814518451691,0.26147618,879908,35957,188544,,,,,,,,,,92,14994
t1_biblioteca_restricted_seed5rep5_1789399186,t1_biblioteca,restricted,deepseek,5,5,malsucedida:max_dom_visual_passes,400.33727073669434,0.10790262,358131,18157,149376,,,,,,,,,,55,10929
t1_biblioteca_baseline_seed5rep5_1789393755,t1_biblioteca,baseline,deepseek,5,5,concluida,184.49646425247192,0.043301860000000005,143032,7745,80637,12,12,1.0,10,10,4,2,3,0,25,10401
t2_dashboard_restricted_seed1rep1_1789399594,t2_dashboard,restricted,deepseek,1,1,malsucedida:max_dom_visual_passes,420.1057288646698,0.16416624000000002,554370,21292,166655,,,,,,,,,,71,11596
t2_dashboard_baseline_seed1rep1_1789394478,t2_dashboard,baseline,deepseek,1,1,concluida,139.94875478744507,0.04451174000000001,149411,6373,70272,7,7,1.0,7,7,1,0,2,0,28,8069
t2_dashboard_baseline_seed2rep2_1789394621,t2_dashboard,baseline,deepseek,2,2,concluida,143.92102718353271,0.047346600000000016,159000,6730,73856,7,7,1.0,7,7,1,0,2,0,29,8403
t2_dashboard_restricted_seed2rep2_1789394768,t2_dashboard,restricted,deepseek,2,2,malsucedida:max_dom_visual_passes,346.9724361896515,0.10699388000000003,361268,13902,116607,,,,,,,,,,50,9889
t2_dashboard_restricted_seed3rep3_1789395118,t2_dashboard,restricted,deepseek,3,3,malsucedida:max_dom_visual_passes,367.45754408836365,0.12450129999999998,416599,18699,117631,,,,,,,,,,53,11591
t2_dashboard_baseline_seed3rep3_1789395489,t2_dashboard,baseline,deepseek,3,3,concluida,120.95958662033081,0.03621198,120735,5729,65664,7,7,1.0,7,7,1,0,2,0,24,8016
t2_dashboard_baseline_seed4rep4_1789395613,t2_dashboard,baseline,deepseek,4,4,concluida,126.24791622161865,0.040681480000000006,136141,6100,69888,7,7,1.0,7,7,1,0,2,0,26,8092
t2_dashboard_restricted_seed4rep4_1789395742,t2_dashboard,restricted,deepseek,4,4,malsucedida:max_dom_visual_passes,323.4698407649994,0.09323762,312260,13821,125439,,,,,,,,,,48,10965
t2_dashboard_restricted_seed5rep5_1789396069,t2_dashboard,restricted,deepseek,5,5,malsucedida:max_dom_visual_passes,309.5411036014557,0.09008622000000006,303270,12311,107135,,,,,,,,,,47,8927
t2_dashboard_baseline_seed5rep5_1789396381,t2_dashboard,baseline,deepseek,5,5,concluida,138.3154423236847,0.046512060000000015,156051,6709,73856,7,7,1.0,7,7,1,0,2,0,28,8455
t3_autenticacao_restricted_seed1rep1_1789396523,t3_autenticacao,restricted,deepseek,1,1,concluida,157.43763756752014,0.03869782,126364,7895,48000,10,10,1.0,6,6,2,2,3,1,21,9734
t3_autenticacao_baseline_seed1rep1_1789396683,t3_autenticacao,baseline,deepseek,1,1,concluida,184.91923475265503,0.08248939999999999,282194,8274,108928,10,10,1.0,6,6,2,2,3,1,58,7760
t3_autenticacao_baseline_seed2rep2_1789396871,t3_autenticacao,baseline,deepseek,2,2,concluida,126.50985193252563,0.033029920000000004,110188,5184,61440,10,10,1.0,6,6,2,2,3,0,22,7322
t3_autenticacao_restricted_seed2rep2_1789397001,t3_autenticacao,restricted,deepseek,2,2,concluida,147.44096112251282,0.028816059999999998,93949,5977,49792,10,10,1.0,6,6,2,2,3,1,17,7662
t3_autenticacao_restricted_seed3rep3_1789397151,t3_autenticacao,restricted,deepseek,3,3,concluida,160.32360172271729,0.03835762,126394,7065,66816,10,10,1.0,6,6,2,2,3,1,19,10981
t3_autenticacao_baseline_seed3rep3_1789400776,t3_autenticacao,baseline,deepseek,3,3,concluida,184.3888237476349,0.0565495,191632,6887,90880,10,10,1.0,6,6,2,2,3,1,37,8241
t3_autenticacao_baseline_seed4rep4_1789397469,t3_autenticacao,baseline,deepseek,4,4,concluida,155.02513599395752,0.05202218,175634,6773,81152,10,10,1.0,6,6,2,2,3,0,36,6947
t3_autenticacao_restricted_seed4rep4_1789400271,t3_autenticacao,restricted,deepseek,4,4,concluida,184.1248869895935,0.04576474,152089,7571,74368,10,10,1.0,6,6,2,2,3,1,25,9639
